Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2025-03-22,2025-03-24,0674,WM SUPERCENTER #3589,Merchandise,59.17,
2025-03-21,2025-03-22,2609,WALGREENS #9238,Health Care,2.15,
2025-03-21,2025-03-22,2609,SMITHS MRKTPL #4094,Merchandise,36.75,
2025-03-21,2025-03-22,0674,AMAZON MKTPL*764DV0II3,Merchandise,37.22,
2025-03-20,2025-03-21,2609,TARGET        00017517,Merchandise,20.97,
2025-03-20,2025-03-21,2609,SMITHS MRKTPL #4094,Merchandise,92.45,
2025-03-20,2025-03-21,2609,Vagaro_*Hair By Cassidy N,Other Services,61.00,
2025-03-20,2025-03-21,0674,SMITHS MRKTPL #4094,Merchandise,8.52,
2025-03-20,2025-03-21,0674,TST* MR SHABU - SALT LAKE,Dining,83.86,
2025-03-18,2025-03-20,2609,TARGET        00026419,Merchandise,59.72,
2025-03-19,2025-03-20,0674,XING FU TANG.,Dining,9.79,
2025-03-18,2025-03-19,2609,COSTCO WHSE #0113,Merchandise,55.35,
2025-03-17,2025-03-18,0674,STATE LIQUOR STORE 01,Merchandise,32.46,
2025-03-17,2025-03-18,0674,NPS STORE,Merchandise,4.10,
2025-03-17,2025-03-18,0674,SNOW.COM/VAIL RESORTS SKI,Entertainment,340.24,
2025-03-16,2025-03-18,0674,BRIGHTON RESORT F & B,Entertainment,25.15,
2025-03-15,2025-03-17,2609,SEVEN ELEVEN,Gas/Automotive,27.11,
2025-03-16,2025-03-17,0674,CHEVRON 0207283,Gas/Automotive,25.25,
2025-03-16,2025-03-17,0674,CHEVRON 0207283,Gas/Automotive,1.92,
2025-03-16,2025-03-17,0674,HRB ONLINE TAX PRODUCT,Professional Services,125.03,
2025-03-15,2025-03-17,0674,RAISING CANES 0546,Dining,13.00,
2025-03-16,2025-03-17,0674,BRIGHTON RESORT,Entertainment,92.71,
2025-03-14,2025-03-15,2609,COSTCO WHSE #0113,Merchandise,22.33,
2025-03-14,2025-03-15,2609,COSTCO WHSE #0113,Merchandise,11.99,
2025-03-13,2025-03-15,2609,CITY OF GRAND JUNCTION,Other Services,3.00,
2025-03-13,2025-03-14,2609,SP HEAVENSCENT,Merchandise,18.47,
2025-03-12,2025-03-13,2609,PETSMART # 1007,Merchandise,97.59,
2025-03-12,2025-03-13,2609,SMITHS MRKTPL #4094,Merchandise,78.54,
2025-03-12,2025-03-13,2609,Scheels Sandy,Merchandise,321.74,
2025-03-11,2025-03-12,2609,BROOKS SPORTS WEB SALES,Merchandise,282.92,
2025-03-10,2025-03-12,0674,EL-CARWASH-O INC,Gas/Automotive,6.25,
2025-03-08,2025-03-10,2609,TST*LAMB & FETA,Dining,14.14,
2025-03-09,2025-03-10,0674,FAST BREAK,Gas/Automotive,41.60,
2025-03-08,2025-03-10,2609,COSTCO WHSE #0113,Merchandise,61.06,
2025-03-07,2025-03-08,0674,SALT LAKE RUNNING CO - 00,Merchandise,205.15,
2025-03-07,2025-03-07,0674,WWW.SKEWER* SKEWERED T,Dining,50.86,
2025-03-05,2025-03-06,2609,NORDSTROM-RACK #0033,Merchandise,97.39,
2025-03-03,2025-03-04,0674,RAISE,Other Services,52.00,
2025-03-02,2025-03-03,0674,SMITHS MRKTPL #4094,Merchandise,49.12,
2025-03-02,2025-03-03,0674,UTAH   ALTHLETICS,Entertainment,15.00,
2025-03-01,2025-03-03,0674,SQ *THE RED MOOSE CAFE -,Dining,13.19,
2025-03-01,2025-03-03,0674,TOP STOP C-14,Gas/Automotive,55.53,
2025-03-01,2025-03-03,0674,TOP STOP C-14,Gas/Automotive,5.64,
2025-03-01,2025-03-03,0674,MCDONALD'S  F10781,Dining,6.69,
2025-03-01,2025-03-03,0674,STATE LIQUOR STORE 01,Merchandise,48.69,
2025-02-28,2025-03-01,0674,WAL-MART #3589,Merchandise,64.90,
2025-02-27,2025-02-28,2609,COSTCO WHSE #0113,Merchandise,127.71,
2025-02-27,2025-02-28,2609,COSTCO WHSE #0113,Merchandise,4.36,
2025-02-25,2025-02-26,2609,PRIMARY CHILDRENS HOSPITA,Health Care,6.76,
2025-02-25,2025-02-26,0674,SMITHS MRKTPL #4094,Merchandise,39.73,
2025-02-23,2025-02-24,0674,TST*SETTEBELLO LLC - SAL,Dining,73.98,
2025-02-23,2025-02-24,0674,EXXON REBEL 915,Gas/Automotive,25.63,
2025-02-23,2025-02-24,0674,EXXON REBEL 915,Gas/Automotive,1.17,
2025-02-23,2025-02-24,0674,SQ *THE BAGEL PROJECT --,Merchandise,42.49,
2025-02-21,2025-02-22,0674,FAST BREAK,Gas/Automotive,39.93,
2025-02-20,2025-02-21,0674,SMITHS MRKTPL #4094,Merchandise,53.70,
2025-02-20,2025-02-20,0674,CAPITAL ONE MEMBER FEE,Fee/Interest Charge,395.00,

